,vote_type,proposal_id,title,proposal_choice,voting_power
151,token_house,0xc552034a4f772bffa9e260bae919a21f8107d9eb8002d61f91df0358cc5959b2,Protocol Upgrade #8: Changes for Stage 1 Decentralization ,FOR,60420527.51061389
152,token_house,0xc552034a4f772bffa9e260bae919a21f8107d9eb8002d61f91df0358cc5959b2,Protocol Upgrade #8: Changes for Stage 1 Decentralization ,ABSTAIN,152455.579336762
153,token_house,0xc552034a4f772bffa9e260bae919a21f8107d9eb8002d61f91df0358cc5959b2,Protocol Upgrade #8: Changes for Stage 1 Decentralization ,AGAINST,146233.9624813261
154,token_house,0xc7cb526487e6533e94540e72e8d0253413296138947def6cee7a7fa0c14ff649,Chain Delegation Program Amendment,FOR,41497035.21079198
155,token_house,0xc7cb526487e6533e94540e72e8d0253413296138947def6cee7a7fa0c14ff649,Chain Delegation Program Amendment,AGAINST,3421823.2758773183
156,token_house,0xc7cb526487e6533e94540e72e8d0253413296138947def6cee7a7fa0c14ff649,Chain Delegation Program Amendment,ABSTAIN,68631.06566298901
157,token_house,0xcb4168482f6b1fdb6520fadec254756aadb637248aaa70cb5a6a0ec743566da5,N/A,ABSTAIN,0.0
158,token_house,0xd0a12732df932b7d57941844ee15edafba9cd19b692e71968080ad797b8e51a2,Intent #3 Budget Proposal,FOR,23852012.87837348
159,token_house,0xd0a12732df932b7d57941844ee15edafba9cd19b692e71968080ad797b8e51a2,Intent #3 Budget Proposal,ABSTAIN,1950325.061076355
160,token_house,0xd0a12732df932b7d57941844ee15edafba9cd19b692e71968080ad797b8e51a2,Intent #3 Budget Proposal,AGAINST,19240.791224877117
161,token_house,0xd2422ed37ad164e9b27cf56fc9f5ebb7ee63d90e8f55b9b50860278889d29a9b,Ratify Developer Advisory Board Members,FOR,44927873.42834448
162,token_house,0xd2422ed37ad164e9b27cf56fc9f5ebb7ee63d90e8f55b9b50860278889d29a9b,Ratify Developer Advisory Board Members,ABSTAIN,368927.81515622936
163,token_house,0xd2422ed37ad164e9b27cf56fc9f5ebb7ee63d90e8f55b9b50860278889d29a9b,Ratify Developer Advisory Board Members,AGAINST,45286.50082399037
